Record,Site,Habitat,Plot_ID,Temporal_replicate,Elevation_m,Coordinates,Exposure_degrees,Incline_degrees,Date,Time,GST_°C,Luminosity_lux,Forest_litter_%,Rocks_%,Roots_%,N_species,N_GrowthForms
2_BIS_PR3,Monte Bisbino,grass-pasture,BIS_PR3,2,1266,N 45°52.343' E 009°04.898',225,27,20230428,13:15,14,25000,10,0,0,21,7
2_BIS_PR4,Monte Bisbino,grass-pasture,BIS_PR4,2,1276,N 45°52.407' E 009°03.881',240,30,20230428,13:50,17.4,32000,30,20,0,18,6
2_BIS_PR5,Monte Bisbino,grass-pasture,BIS_PR5,2,1264,N 45°52.408' E 009°03.879',15,30,20230428,09:30,11.7,20000,60,10,0,24,6
2_BIS_BM1,Monte Bisbino,mixed forest,BIS_BM1,2,1315,N 45°52.414' E 009°04.129',300,40,20230428,11:35,10.8,23000,60,10,0,10,5
2_BIS_BM2,Monte Bisbino,mixed forest,BIS_BM2,2,1265,N 45°52.370' E 009°03.867',315,30,20230428,12:00,12.4,6700,60,20,0,10,4
2_BIS_BM3,Monte Bisbino,mixed forest,BIS_BM3,2,1280,N 45°52.367' E 009°03.868',300,30,20230428,12:15,11.1,6000,90,0,0,13,6
2_BIS_BM4,Monte Bisbino,mixed forest,BIS_BM4,2,1280,N 45°52.344' E 009°03.897',15,35,20230428,10:00,15,25000,70,20,0,14,5
2_BIS_BM5,Monte Bisbino,mixed forest,BIS_BM5,2,1260,N 45°52.343' E 009°03.898',30,35,20230428,10:15,13.3,19500,80,10,0,14,5
2_BIS_AR1,Monte Bisbino,spruce plantation,BIS_AR1,2,1298,N 45°52.422' E 009°03.919',135,30,20230428,10:30,10.3,4000,90,0,0,7,4
2_BIS_AR2,Monte Bisbino,spruce plantation,BIS_AR2,2,1290,N 45°52.429' E 009°03.921',120,30,20230428,10:45,8.6,5300,70,0,0,12,5
2_BIS_AR3,Monte Bisbino,spruce plantation,BIS_AR3,2,1285,N 45°52.433' E 009°03.922',210,35,20230428,14:45,10.4,1800,80,20,0,5,3
2_BIS_AR4,Monte Bisbino,spruce plantation,BIS_AR4,2,1254,N 45°52.484' E 009°04.305',300,30,20230428,12:30,9.7,6000,90,10,0,3,1
2_BIS_AR5,Monte Bisbino,spruce plantation,BIS_AR5,2,1241,N 45°52.521' E 009°04.333',300,30,20230428,12:40,9.7,4600,90,0,10,5,2
3_AVR_BM1,Alpe del Vicerè,mixed forest,AVR_BM1,3,928,N 45°49.814' E 009°11.050',120,25,20230526,06:30,10.9,91,80,10,0,17,7
3_AVR_BM2,Alpe del Vicerè,mixed forest,AVR_BM2,3,954,N 45°49.816' E 009°11.051',120,40,20230526,07:00,10.7,615,80,0,10,29,8
3_AVR_BM3,Alpe del Vicerè,mixed forest,AVR_BM3,3,971,N 45°49.836' E 009°11.079',155,30,20230526,07:30,12.7,180,80,20,10,14,8
3_AVR_BM4,Alpe del Vicerè,mixed forest,AVR_BM4,3,944,N 45°49.837' E 009°11.076',150,25,20230526,08:00,12.2,220,50,10,10,27,10
3_AVR_BM5,Alpe del Vicerè,mixed forest,AVR_BM5,3,947,N 45°49.676' E 009°11.111',180,25,20230526,08:30,12.5,350,60,0,0,20,8
3_AVR_AR1,Alpe del Vicerè,spruce plantation,AVR_AR1,3,891,N 45°49.673' E 009°11.432',15,30,20230526,09:50,14.4,330,70,10,0,20,8
3_AVR_AR2,Alpe del Vicerè,spruce plantation,AVR_AR2,3,894,N 45°49.622' E 009°11.443',150,28,20230526,10:20,21.1,54000,50,10,10,22,8
3_AVR_AR3,Alpe del Vicerè,spruce plantation,AVR_AR3,3,924,N 45°49.620' E 009°11.445',195,17,20230526,09:15,13.5,1000,90,10,10,6,3
3_AVR_AR4,Alpe del Vicerè,spruce plantation,AVR_AR4,3,924,N 45°49.620' E 009°11.445',195,26,20230526,09:15,14,620,90,0,10,4,3
3_AVR_AR5,Alpe del Vicerè,spruce plantation,AVR_AR5,3,924,N 45°49.620' E 009°11.445',195,20,20230526,09:15,14.2,2000,80,0,0,8,5
3_BIS_PR1,Monte Bisbino,grass-pasture,BIS_PR1,3,1291,N 45°52.418' E 009°04.133',240,25,20230530,12:10,31.1,60000,10,0,0,25,6
3_BIS_PR2,Monte Bisbino,grass-pasture,BIS_PR2,3,1319,N 45°52.447' E 009°04.168',270,30,20230530,14:00,23.6,24000,10,0,0,25,4
3_BIS_PR3,Monte Bisbino,grass-pasture,BIS_PR3,3,1266,N 45°52.343' E 009°04.898',225,27,20230530,14:25,19.6,17000,10,0,0,26,6
3_BIS_PR4,Monte Bisbino,grass-pasture,BIS_PR4,3,1276,N 45°52.407' E 009°03.881',240,30,20230530,14:50,23.3,75000,10,20,0,23,5
3_BIS_PR5,Monte Bisbino,grass-pasture,BIS_PR5,3,1264,N 45°52.408' E 009°03.879',15,30,20230530,10:20,18.8,57000,10,10,0,32,8
3_BIS_BM1,Monte Bisbino,mixed forest,BIS_BM1,3,1315,N 45°52.414' E 009°04.129',300,40,20230530,12:45,12.4,1600,60,10,0,13,5
3_BIS_BM2,Monte Bisbino,mixed forest,BIS_BM2,3,1265,N 45°52.370' E 009°03.867',315,30,20230530,13:00,13,2100,60,20,0,13,4
